A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20151003011696;2;2;13;09;1;1;6;3;163.15344201
1;20151002011696;2;2;13;09;1;1;6;3;163.15344201
2;20151001022998;2;2;13;01;2;1;6;5;123.63089118
2;20151002022998;2;2;13;01;2;1;6;5;123.63089118
1;20151001011696;2;2;13;09;1;1;6;3;163.15344201
2;20151001002021;3;3;13;04;0;1;1;1;481.13493672
1;20151001011527;2;2;13;03;8;1;6;4;63.587212045
2;20151000037593;2;2;13;13;1;2;6;4;957.21145503
1;20151001011880;2;2;13;09;1;1;6;3;163.15344201
1;20151000034097;2;2;13;10;1;2;6;3;38.73282296
1;20151000011696;2;2;13;09;1;1;6;3;163.15344201
2;20151000009168;2;2;13;09;1;3;6;5;185.87678598
2;20151000002021;3;3;13;04;0;1;1;1;481.13493672
1;20151000011880;2;2;13;09;1;1;6;3;163.15344201
2;20151000022998;2;2;13;01;2;1;6;5;123.63089118
1;20151000011527;2;2;13;03;8;1;6;4;63.587212045
1;20151000011518;2;2;13;01;8;1;6;5;63.587212045
1;20151000019851;2;2;13;01;8;1;6;3;175.53268244
1;20151000003192;2;1;13;03;2;1;6;5;167.89814472
2;20151000000422;3;3;13;01;0;1;1;1;277.64871078
2;20151000018092;2;2;13;04;1;1;1;4;112.063171
2;20151000012165;2;2;13;05;1;1;1;4;326.06470762
1;20151000019852;2;2;13;01;7;1;6;5;175.53268244
1;20151000019842;2;2;13;01;1;1;6;4;257.52564931
1;20151000019829;2;2;13;01;1;1;1;5;257.52564931
2;20151000000441;3;3;13;01;0;1;1;1;277.64871078
2;20151000005408;2;2;13;09;1;1;6;2;101.56077433
2;20151000020486;2;2;13;09;1;1;1;4;185.87678598
2;20151000009167;2;2;13;09;1;2;6;4;185.87678598
1;20151000008498;2;2;13;05;1;1;1;5;222.07759568
2;20151000020522;2;2;13;09;3;2;6;4;185.87678598
2;20151000020171;2;2;13;04;1;1;6;4;185.47638316
2;20151000015276;2;2;13;16;1;1;6;4;79.116756529
1;20151000019850;2;2;13;01;1;1;1;4;257.52564931
1;20151000019834;2;2;13;01;1;1;6;4;257.52564931
2;20151000000427;3;3;13;01;0;1;1;1;277.64871078
2;20151000018093;2;2;13;04;1;1;1;5;112.063171
2;1014EVB0006569;3;3;13;05;0;1;1;1;297.05266701
2;1014EVB0006570;3;3;13;05;0;1;1;1;297.05266701
2;20151000007660;2;3;13;01;9;1;6;3;178.96393975
2;20151000007543;2;2;13;05;1;1;1;5;170.54269224
2;1014EVB0006564;3;3;13;05;0;1;1;1;297.05266701
2;20151000005390;2;2;13;09;1;1;6;4;101.56077433
1;20151000019840;2;2;13;01;1;1;6;4;257.52564931
2;20151000014089;2;2;13;16;1;2;6;4;79.116756529
2;20151000018134;2;2;13;04;1;1;1;4;112.063171
2;20151000018094;2;2;13;04;1;1;1;4;112.063171
2;20151000005420;2;2;13;09;1;2;6;3;101.56077433
2;20151000009194;2;2;13;09;1;2;6;4;185.87678598
1;20151000019837;2;2;13;01;1;1;6;4;257.52564931
1;20151000019831;2;2;13;01;1;1;6;5;257.52564931
2;20151000003126;3;3;13;04;0;1;1;1;481.13493672
2;20151000009193;2;2;13;09;8;1;6;4;129.5379278
2;20151000020148;2;2;13;04;9;1;6;5;97.04843178
1;20151000008357;2;2;13;05;1;1;1;4;222.07759568
2;20151000020521;2;2;13;09;2;1;6;4;129.5379278
2;20151000020149;2;2;13;04;1;1;6;5;185.47638316
2;20151000018135;2;2;13;04;1;1;1;5;112.063171
2;20151000009170;2;2;13;09;1;1;6;5;185.87678598
2;20151000018136;2;2;13;04;1;1;6;3;112.063171
2;20151000009192;2;2;13;09;5;1;1;3;129.5379278
2;20151000015030;3;3;13;10;0;1;1;1;481.13493672
1;20151000017157;2;1;13;01;3;1;6;5;319.08333713
1;20151000019855;2;2;13;01;7;1;6;6;175.53268244
2;20151000013246;2;2;13;04;7;5;6;6;58.635794058
1;20151000019854;2;2;13;01;1;1;1;4;257.52564931
2;20151000013247;2;2;13;04;8;4;6;4;58.635794058
2;20151000020518;2;2;13;09;1;1;6;4;185.87678598
2;20151000013245;2;2;13;01;8;1;6;5;58.635794058
2;20151000007659;2;3;13;01;3;1;6;4;262.55967917
2;20151000001995;3;3;13;04;0;1;1;1;481.13493672
1;20131000082849;3;1;13;16;0;5;6;1;493.16017116
2;20151000009169;2;2;13;09;1;1;6;4;185.87678598
2;20151000017235;2;1;13;01;3;1;6;5;319.08333713
1;20151000019838;2;2;13;01;1;1;1;4;257.52564931
1;20141000081628;2;1;13;09;3;1;6;6;112.15295345
1;20151000019853;2;2;13;01;8;1;6;4;175.53268244
1;20151000019822;2;2;13;01;2;1;6;5;175.53268244
1;20151000019824;2;2;13;01;2;1;6;4;175.53268244
1;20141100061947;3;1;13;98;0;1;6;1;22.382275578
2;20151000018012;2;2;13;01;8;4;6;5;193.7051412
1;20131000082824;3;1;13;16;0;5;6;1;197.26406807
2;20151000012216;2;2;13;05;1;1;1;4;343.05408337
1;20151000009383;2;1;13;01;6;1;6;5;122.51500989
2;20151000020489;2;2;13;09;1;1;1;4;185.87678598
2;20151000020150;2;2;13;04;1;1;6;4;185.47638316
1;20151000019843;2;2;13;01;1;1;6;4;257.52564931
2;20151000009195;2;2;13;09;1;1;1;5;185.87678598
2;20151000001999;3;3;13;04;0;1;1;1;481.13493672
2;20151000018014;2;2;13;01;1;1;6;5;284.18663446
1;20151000008361;2;2;13;05;1;1;1;4;222.07759568
2;20151000020519;2;2;13;09;8;1;6;4;129.5379278
1;20151000019828;2;2;13;01;1;1;1;4;257.52564931
1;20151000032659;2;2;13;05;1;1;1;4;185.67862717
2;20151000037808;2;2;13;09;1;1;6;3;283.07861529
2;20151001007660;2;3;13;01;9;1;6;3;178.96393975
2;20151000029137;3;2;13;98;0;5;0;1;39.528871608
2;20151000037810;2;2;13;09;1;2;6;3;283.07861529
1;20151001008361;2;2;13;05;1;1;1;4;222.07759568
2;20151000037619;2;2;13;04;1;1;6;4;112.063171
1;20151000040610;2;2;13;10;8;1;6;4;58.976622996
1;20151000025203;2;2;13;15;1;2;6;6;70.093033744
2;20151000038315;2;2;13;16;1;2;6;3;79.116756529
2;20151001000422;3;3;13;01;0;1;1;1;277.64871078
1;20151000035057;2;2;13;07;2;4;6;4;128.72564676
2;20151001001999;3;3;13;04;0;1;1;1;481.13493672
1;20151000032652;2;2;13;05;1;1;6;5;185.67862717
1;20151000030912;2;2;13;09;8;1;6;6;70.777919811
2;20151001009170;2;2;13;09;1;1;6;5;185.87678598
1;20151000040725;2;2;13;10;1;1;6;4;103.14993195
1;20151000040622;2;2;13;10;1;1;6;3;103.14993195
2;20151000029138;2;2;13;16;1;2;6;2;79.116756529
2;20151000030629;2;2;13;04;1;2;1;4;112.063171
2;20151000037811;2;2;13;09;1;1;6;4;283.07861529
2;20151001009193;2;2;13;09;8;1;6;4;129.5379278
2;20151000039976;2;2;13;03;1;2;6;3;79.116756529
2;20151000030412;2;2;13;01;1;1;1;6;86.025124938
2;20151001007543;2;2;13;05;1;1;1;5;170.54269224
1;20151000035108;2;2;13;01;2;1;6;5;166.95776216
2;20151000037525;2;2;13;16;1;1;6;4;127.9148668
2;20151000040973;2;3;13;04;7;1;6;6;46.140188212
2;20151000041050;2;1;13;01;3;1;6;5;246.32494722
2;20151000025848;2;2;13;07;1;2;6;3;355.05397712
1;20151000030795;2;2;13;12;1;2;6;3;140.80700251
2;20151001003126;3;3;13;04;0;1;1;1;481.13493672
1;20151000025168;3;2;13;98;0;4;6;1;39.528871608
2;20151000037688;2;2;13;04;1;1;1;4;112.063171
2;20151001013245;2;2;13;01;8;1;6;5;58.635794058
2;20151000037216;3;3;13;09;0;1;1;1;481.13493672
1;20151000025310;2;2;13;16;1;2;6;3;79.116756529
1;20151000025181;2;2;13;15;1;1;6;5;79.116756529
2;20151001014089;2;2;13;16;1;2;6;4;79.116756529
1;20151000040623;2;2;13;10;1;2;6;4;103.14993195
2;20151000036038;3;3;13;05;0;1;1;1;297.05266701
2;20151001007659;2;3;13;01;3;1;6;4;262.55967917
2;20151001013246;2;2;13;04;7;5;6;6;58.635794058
2;20151001009195;2;2;13;09;1;1;1;5;185.87678598
2;20151001001995;3;3;13;04;0;1;1;1;481.13493672
2;20151000037620;2;2;13;04;1;1;6;4;112.063171
2;20151001005408;2;2;13;09;1;1;6;2;101.56077433
1;20151000031220;2;2;13;09;1;1;6;4;101.56077433
2;20151000039283;2;2;13;16;8;1;6;4;45.21658508
1;20151001008498;2;2;13;05;1;1;1;5;222.07759568
2;20151001000441;3;3;13;01;0;1;1;1;277.64871078
1;20151000029749;2;2;13;13;1;2;6;4;290.10470566
2;20151000037686;2;2;13;04;1;1;6;4;112.063171
1;20151000034894;2;2;13;10;8;4;6;5;128.72564676
2;20151001000427;3;3;13;01;0;1;1;1;277.64871078
2;20151000037231;3;3;13;09;0;1;1;1;481.13493672
2;20151000037621;2;2;13;04;8;1;6;4;58.635794058
2;20151000036075;3;3;13;04;0;1;1;1;481.13493672
1;20151001008357;2;2;13;05;1;1;1;4;222.07759568
2;20151001005390;2;2;13;09;1;1;6;4;101.56077433
2;20151000040967;2;3;13;09;1;2;6;5;66.207558164
1;20151000034976;2;2;13;13;1;2;6;3;238.69192197
2;20151000030630;3;2;13;98;0;5;0;1;51.107995349
2;20151001009167;2;2;13;09;1;2;6;4;185.87678598
2;20151001012216;2;2;13;05;1;1;1;4;343.05408337
1;20151000025306;2;2;13;07;1;2;6;3;79.116756529
2;20151001037620;2;2;13;04;1;1;6;4;112.063171
2;20151001040973;2;3;13;04;7;1;6;6;46.140188212
2;20151001018092;2;2;13;04;1;1;1;4;112.063171
2;20151002013245;2;2;13;01;8;1;6;5;58.635794058
1;20151002019852;2;2;13;01;7;1;6;5;175.53268244
2;20151001018014;2;2;13;01;1;1;6;5;284.18663446
1;20151001019838;2;2;13;01;1;1;1;4;257.52564931
2;20151002020521;2;2;13;09;2;1;6;4;129.5379278
2;20151001037811;2;2;13;09;1;1;6;4;283.07861529
2;20151002030630;3;2;13;98;0;5;0;1;51.107995349
2;20151001020522;2;2;13;09;3;2;6;4;185.87678598
1;20151001040725;2;2;13;10;1;1;6;4;103.14993195
2;20151002020486;2;2;13;09;1;1;1;4;185.87678598
2;20151002009170;2;2;13;09;1;1;6;5;185.87678598
1;20151001032659;2;2;13;05;1;1;1;4;185.67862717
2;20151001020518;2;2;13;09;1;1;6;4;185.87678598
1;20151001032652;2;2;13;05;1;1;6;5;185.67862717
2;20151001037619;2;2;13;04;1;1;6;4;112.063171
2;20151001030630;3;2;13;98;0;5;0;1;51.107995349
2;20151001015030;3;3;13;10;0;1;1;1;481.13493672
2;20151001037525;2;2;13;16;1;1;6;4;127.9148668
1;20151001029749;2;2;13;13;1;2;6;4;290.10470566
1;20151002019854;2;2;13;01;1;1;1;4;257.52564931
1;20151002019824;2;2;13;01;2;1;6;4;175.53268244
2;20151001030412;2;2;13;01;1;1;1;6;86.025124938
2;20151001037216;3;3;13;09;0;1;1;1;481.13493672
2;20151001020486;2;2;13;09;1;1;1;4;185.87678598
1;20151001025181;2;2;13;15;1;1;6;5;79.116756529
1;20151001031220;2;2;13;09;1;1;6;4;101.56077433
2;20151001020148;2;2;13;04;9;1;6;5;97.04843178
1;20151002019840;2;2;13;01;1;1;6;4;257.52564931
2;20151002018136;2;2;13;04;1;1;6;3;112.063171
1;20151001019837;2;2;13;01;1;1;6;4;257.52564931
1;20151001019854;2;2;13;01;1;1;1;4;257.52564931
1;20151001019840;2;2;13;01;1;1;6;4;257.52564931
2;20151002014089;2;2;13;16;1;2;6;4;79.116756529
1;20151002019838;2;2;13;01;1;1;1;4;257.52564931
2;20151001037621;2;2;13;04;8;1;6;4;58.635794058
2;20151001020489;2;2;13;09;1;1;1;4;185.87678598
1;20151002008361;2;2;13;05;1;1;1;4;222.07759568
1;20151001019852;2;2;13;01;7;1;6;5;175.53268244
2;20151001020171;2;2;13;04;1;1;6;4;185.47638316
2;20151002030629;2;2;13;04;1;2;1;4;112.063171
1;20151002019853;2;2;13;01;8;1;6;4;175.53268244
1;20151001019853;2;2;13;01;8;1;6;4;175.53268244
1;20151001035057;2;2;13;07;2;4;6;4;128.72564676
2;20151001020150;2;2;13;04;1;1;6;4;185.47638316
1;20151002019831;2;2;13;01;1;1;6;5;257.52564931
2;20151001018094;2;2;13;04;1;1;1;4;112.063171
2;20151002009167;2;2;13;09;1;2;6;4;185.87678598
1;20151002029749;2;2;13;13;1;2;6;4;290.10470566
2;20151002018093;2;2;13;04;1;1;1;5;112.063171
2;20151001036038;3;3;13;05;0;1;1;1;297.05266701
2;20151001018135;2;2;13;04;1;1;1;5;112.063171
1;20151001040622;2;2;13;10;1;1;6;3;103.14993195
1;20151001019829;2;2;13;01;1;1;1;5;257.52564931
1;20151001019822;2;2;13;01;2;1;6;5;175.53268244
2;20151001018136;2;2;13;04;1;1;6;3;112.063171
2;20151001037231;3;3;13;09;0;1;1;1;481.13493672
1;20151001040623;2;2;13;10;1;2;6;4;103.14993195
2;20151001020519;2;2;13;09;8;1;6;4;129.5379278
1;20151001019843;2;2;13;01;1;1;6;4;257.52564931
1;20151002008357;2;2;13;05;1;1;1;4;222.07759568
1;20151001035108;2;2;13;01;2;1;6;5;166.95776216
2;20151001040967;2;3;13;09;1;2;6;5;66.207558164
2;20151001015276;2;2;13;16;1;1;6;4;79.116756529
2;20151001037686;2;2;13;04;1;1;6;4;112.063171
2;20151001030629;2;2;13;04;1;2;1;4;112.063171
2;20151001020521;2;2;13;09;2;1;6;4;129.5379278
1;20151001034894;2;2;13;10;8;4;6;5;128.72564676
2;20151001036075;3;3;13;04;0;1;1;1;481.13493672
1;20151001019824;2;2;13;01;2;1;6;4;175.53268244
1;20151001019831;2;2;13;01;1;1;6;5;257.52564931
2;20151001018134;2;2;13;04;1;1;1;4;112.063171
1;20151002035108;2;2;13;01;2;1;6;5;166.95776216
2;20151001029138;2;2;13;16;1;2;6;2;79.116756529
2;20151001018093;2;2;13;04;1;1;1;5;112.063171
1;20151001019842;2;2;13;01;1;1;6;4;257.52564931
2;20151001020149;2;2;13;04;1;1;6;5;185.47638316
2;20151001037808;2;2;13;09;1;1;6;3;283.07861529
2;20151004020486;2;2;13;09;1;1;1;4;185.87678598
1;20151003019838;2;2;13;01;1;1;1;4;257.52564931
1;20151003019853;2;2;13;01;8;1;6;4;175.53268244
1;20151011019840;2;2;13;01;1;1;6;4;257.52564931
2;20151005030629;2;2;13;04;1;2;1;4;112.063171
2;20151003020521;2;2;13;09;2;1;6;4;129.5379278
1;20151003040622;2;2;13;10;1;1;6;3;103.14993195
2;20151021020486;2;2;13;09;1;1;1;4;185.87678598
2;20151002037620;2;2;13;04;1;1;6;4;112.063171
2;20151007020486;2;2;13;09;1;1;1;4;185.87678598
1;20151004019840;2;2;13;01;1;1;6;4;257.52564931
1;20151007019840;2;2;13;01;1;1;6;4;257.52564931
2;20151012030629;2;2;13;04;1;2;1;4;112.063171
2;20151003018136;2;2;13;04;1;1;6;3;112.063171
2;20151006020486;2;2;13;09;1;1;1;4;185.87678598
1;20151003008361;2;2;13;05;1;1;1;4;222.07759568
2;20151003037621;2;2;13;04;8;1;6;4;58.635794058
1;20151002040725;2;2;13;10;1;1;6;4;103.14993195
2;20151016020486;2;2;13;09;1;1;1;4;185.87678598
1;20151005019853;2;2;13;01;8;1;6;4;175.53268244
1;20151003019854;2;2;13;01;1;1;1;4;257.52564931
2;20151003009167;2;2;13;09;1;2;6;4;185.87678598
2;20151003037216;3;3;13;09;0;1;1;1;481.13493672
2;20151004009167;2;2;13;09;1;2;6;4;185.87678598
2;20151004020521;2;2;13;09;2;1;6;4;129.5379278
2;20151005009167;2;2;13;09;1;2;6;4;185.87678598
1;20151003029749;2;2;13;13;1;2;6;4;290.10470566
2;20151002037216;3;3;13;09;0;1;1;1;481.13493672
2;20151006018136;2;2;13;04;1;1;6;3;112.063171
2;20151017020486;2;2;13;09;1;1;1;4;185.87678598
1;20151006019840;2;2;13;01;1;1;6;4;257.52564931
2;20151008030629;2;2;13;04;1;2;1;4;112.063171
2;20151008020486;2;2;13;09;1;1;1;4;185.87678598
2;20151002037621;2;2;13;04;8;1;6;4;58.635794058
2;20151005020486;2;2;13;09;1;1;1;4;185.87678598
1;20151002040622;2;2;13;10;1;1;6;3;103.14993195
2;20151019020486;2;2;13;09;1;1;1;4;185.87678598
1;20151004019853;2;2;13;01;8;1;6;4;175.53268244
2;20151013020486;2;2;13;09;1;1;1;4;185.87678598
1;20151004019824;2;2;13;01;2;1;6;4;175.53268244
2;20151011020486;2;2;13;09;1;1;1;4;185.87678598
2;20151013030629;2;2;13;04;1;2;1;4;112.063171
2;20151003020486;2;2;13;09;1;1;1;4;185.87678598
2;20151005018136;2;2;13;04;1;1;6;3;112.063171
2;20151003037619;2;2;13;04;1;1;6;4;112.063171
2;20151003013245;2;2;13;01;8;1;6;5;58.635794058
1;20151003008357;2;2;13;05;1;1;1;4;222.07759568
2;20151004030629;2;2;13;04;1;2;1;4;112.063171
2;20151007030629;2;2;13;04;1;2;1;4;112.063171
1;20151007019853;2;2;13;01;8;1;6;4;175.53268244
2;20151003009170;2;2;13;09;1;1;6;5;185.87678598
2;20151010030629;2;2;13;04;1;2;1;4;112.063171
2;20151012020486;2;2;13;09;1;1;1;4;185.87678598
2;20151003037620;2;2;13;04;1;1;6;4;112.063171
1;20151008019840;2;2;13;01;1;1;6;4;257.52564931
2;20151006030629;2;2;13;04;1;2;1;4;112.063171
1;20151003019840;2;2;13;01;1;1;6;4;257.52564931
1;20151009019840;2;2;13;01;1;1;6;4;257.52564931
2;20151009030629;2;2;13;04;1;2;1;4;112.063171
2;20151010020486;2;2;13;09;1;1;1;4;185.87678598
2;20151004037621;2;2;13;04;8;1;6;4;58.635794058
2;20151004037619;2;2;13;04;1;1;6;4;112.063171
2;20151003030629;2;2;13;04;1;2;1;4;112.063171
2;20151011030629;2;2;13;04;1;2;1;4;112.063171
2;20151015020486;2;2;13;09;1;1;1;4;185.87678598
1;20151012019840;2;2;13;01;1;1;6;4;257.52564931
2;20151009020486;2;2;13;09;1;1;1;4;185.87678598
1;20151003019824;2;2;13;01;2;1;6;4;175.53268244
2;20151020020486;2;2;13;09;1;1;1;4;185.87678598
2;20151006009167;2;2;13;09;1;2;6;4;185.87678598
1;20151010019840;2;2;13;01;1;1;6;4;257.52564931
2;20151004018136;2;2;13;04;1;1;6;3;112.063171
1;20151006019853;2;2;13;01;8;1;6;4;175.53268244
1;20151005019840;2;2;13;01;1;1;6;4;257.52564931
2;20151002037619;2;2;13;04;1;1;6;4;112.063171
2;20151018020486;2;2;13;09;1;1;1;4;185.87678598
2;20151014020486;2;2;13;09;1;1;1;4;185.87678598
1;20151007011938;2;2;2;09;1;1;1;4;11.189111122
1;20151003011642;2;2;2;09;1;1;6;4;11.189111122
2;20151045015704;2;2;2;01;1;2;6;3;63.005083889
1;20151005011642;2;2;2;09;1;1;6;4;11.189111122
1;20151017013081;2;2;2;01;1;1;1;4;63.005083889
2;20151004007470;3;2;2;98;0;5;0;1;78.210581088
2;20151003015705;2;2;2;01;1;1;1;5;63.005083889
1;20151003013048;2;2;2;01;1;1;6;3;63.005083889
1;20151003022224;2;2;2;09;1;1;6;4;11.189111122
1;20151003012749;2;2;2;02;7;4;6;4;60.688513843
1;20151008011637;2;2;2;09;1;1;6;3;11.189111122
1;20151006011943;2;2;2;09;1;1;6;4;11.189111122
1;20151021013081;2;2;2;01;1;1;1;4;63.005083889
1;20151010011772;2;2;2;09;1;1;6;3;11.189111122
1;20151010011637;2;2;2;09;1;1;6;3;11.189111122
1;20151003025382;2;2;2;16;2;1;6;3;12.962250704
1;20151037010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151004010972;2;2;2;14;1;3;6;4;6.1665545527
2;20151008014124;2;2;2;16;1;1;1;4;13.288787554
1;20151013010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151005010710;2;2;2;13;2;1;6;4;96.475253779
1;20151006011637;2;2;2;09;1;1;6;3;11.189111122
1;20151004013061;2;2;2;01;8;1;6;3;73.295762344
1;20151016011637;2;2;2;09;1;1;6;3;11.189111122
1;20151017018972;3;2;2;98;0;1;6;1;78.210581088
1;20151017011938;2;2;2;09;1;1;1;4;11.189111122
1;20151003022409;2;2;2;09;1;4;6;3;11.189111122
1;20151007034988;3;2;2;98;0;3;6;1;14.991881376
1;20151014018972;3;2;2;98;0;1;6;1;78.210581088
1;20151010011771;2;2;2;09;1;1;6;4;11.189111122
1;20151035013081;2;2;2;01;1;1;1;4;63.005083889
2;20151012015704;2;2;2;01;1;2;6;3;63.005083889
1;20151003028280;2;2;2;05;1;1;1;4;118.09306407
1;20151004017665;2;2;2;09;1;2;6;2;41.297303626
1;20151010011774;3;2;2;98;0;5;6;1;11.600031994
1;20151006018972;3;2;2;98;0;1;6;1;78.210581088
1;20151003011771;2;2;2;09;1;1;6;4;11.189111122
1;20151013013081;2;2;2;01;1;1;1;4;63.005083889
1;20151006011938;2;2;2;09;1;1;1;4;11.189111122
1;20151010035073;2;2;2;13;8;3;1;4;17.200065526
1;20151040013081;2;2;2;01;1;1;1;4;63.005083889
1;20151039013081;2;2;2;01;1;1;1;4;63.005083889
1;20151012035073;2;2;2;13;8;3;1;4;17.200065526
1;20151005011816;2;2;2;09;1;5;6;3;11.189111122
2;20151010015704;2;2;2;01;1;2;6;3;63.005083889
1;20151004011541;2;2;2;06;1;1;6;4;25.7923964
1;20151018011938;2;2;2;09;1;1;1;4;11.189111122
1;20151024011938;2;2;2;09;1;1;1;4;11.189111122
1;20151010011809;2;2;2;09;1;5;6;3;11.189111122
1;20151003011807;3;2;2;98;0;5;6;1;11.600031994
1;20151018018972;3;2;2;98;0;1;6;1;78.210581088
1;20151005021131;2;2;2;01;1;1;1;4;272.43357733
1;20151020011938;2;2;2;09;1;1;1;4;11.189111122
2;20151027015704;2;2;2;01;1;2;6;3;63.005083889
1;20151014022213;2;2;2;09;1;1;1;3;11.189111122
1;20151003018972;3;2;2;98;0;1;6;1;78.210581088
1;20151003011766;2;2;2;09;1;1;6;3;11.189111122
2;20151007015704;2;2;2;01;1;2;6;3;63.005083889
2;20151031015704;2;2;2;01;1;2;6;3;63.005083889
2;20151026015704;2;2;2;01;1;2;6;3;63.005083889
2;20151016015704;2;2;2;01;1;2;6;3;63.005083889
1;20151008013081;2;2;2;01;1;1;1;4;63.005083889
1;20151004011007;2;2;2;14;8;1;6;5;7.9218832574
1;20151033013081;2;2;2;01;1;1;1;4;63.005083889
1;20151003021129;2;2;2;01;1;1;1;4;272.43357733
1;20151005012622;3;2;2;98;0;1;1;1;52.897182225
1;20151004021131;2;2;2;01;1;1;1;4;272.43357733
1;20151012011774;3;2;2;98;0;5;6;1;11.600031994
1;20151006011772;2;2;2;09;1;1;6;3;11.189111122
1;20151039010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151006022213;2;2;2;09;1;1;1;3;11.189111122
1;20151003018768;3;2;2;98;0;1;1;1;78.210581088
1;20151006013060;2;2;2;01;1;1;6;4;63.005083889
1;20151003012633;2;2;2;01;8;4;6;4;60.688513843
1;20151003012622;3;2;2;98;0;1;1;1;52.897182225
1;20151028010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151004022026;2;2;2;09;2;1;6;3;13.308623874
1;20151003011803;2;2;2;09;1;1;6;2;11.189111122
1;20151019011816;2;2;2;09;1;5;6;3;11.189111122
1;20151042013081;2;2;2;01;1;1;1;4;63.005083889
2;20151046015704;2;2;2;01;1;2;6;3;63.005083889
1;20151012011809;2;2;2;09;1;5;6;3;11.189111122
1;20151024013081;2;2;2;01;1;1;1;4;63.005083889
1;20151003012728;2;2;2;13;1;1;6;4;50.836054387
1;20151007022414;2;2;2;09;1;1;6;3;11.189111122
1;20151027010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151024010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151025013081;2;2;2;01;1;1;1;4;63.005083889
1;20151003005476;3;3;2;98;0;4;6;1;54.265112463
1;20151004010859;2;2;2;13;1;1;6;3;80.813006243
1;20151008011771;2;2;2;09;1;1;6;4;11.189111122
1;20151004034992;2;2;2;01;1;1;1;5;14.785187256
2;20151009014124;2;2;2;16;1;1;1;4;13.288787554
1;20151008011774;3;2;2;98;0;5;6;1;11.600031994
1;20151006022423;2;2;2;09;1;1;6;3;11.189111122
1;20151003031021;2;2;2;09;1;2;6;4;84.257668267
1;20151007025382;2;2;2;16;2;1;6;3;12.962250704
1;20151011011637;2;2;2;09;1;1;6;3;11.189111122
1;20151005011938;2;2;2;09;1;1;1;4;11.189111122
1;20151025010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151004018768;3;2;2;98;0;1;1;1;78.210581088
1;20151004034988;3;2;2;98;0;3;6;1;14.991881376
2;20151009015704;2;2;2;01;1;2;6;3;63.005083889
1;20151006017932;2;2;2;09;1;2;6;3;41.297303626
1;20151003013028;2;2;2;01;7;1;6;6;73.295762344
1;20151003010859;2;2;2;13;1;1;6;3;80.813006243
1;20151004035073;2;2;2;13;8;3;1;4;17.200065526
1;20151031010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151009011938;2;2;2;09;1;1;1;4;11.189111122
1;20151005011773;2;2;2;09;1;1;6;3;11.189111122
1;20151019011938;2;2;2;09;1;1;1;4;11.189111122
1;20151004025382;2;2;2;16;2;1;6;3;12.962250704
1;20151003013078;2;2;2;01;1;1;1;5;63.005083889
2;20151025015704;2;2;2;01;1;2;6;3;63.005083889
1;20151004011943;2;2;2;09;1;1;6;4;11.189111122
1;20151003022026;2;2;2;09;2;1;6;3;13.308623874
1;20151003031309;2;2;2;09;1;3;6;5;84.257668267
1;20151003017866;2;2;2;09;1;1;6;4;41.297303626
1;20151003022421;2;2;2;09;1;1;6;3;11.189111122
1;20151009010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151030010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151007013048;2;2;2;01;1;1;6;3;63.005083889
1;20151036013081;2;2;2;01;1;1;1;4;63.005083889
1;20151003017686;2;2;2;09;1;1;6;4;41.297303626
1;20151035010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151005013081;2;2;2;01;1;1;1;4;63.005083889
1;20151005011541;2;2;2;06;1;1;6;4;25.7923964
1;20151005010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151016022213;2;2;2;09;1;1;1;3;11.189111122
1;20151003010713;2;2;2;13;1;1;6;3;80.813006243
2;20151005007470;3;2;2;98;0;5;0;1;78.210581088
1;20151006017665;2;2;2;09;1;2;6;2;41.297303626
1;20151023011938;2;2;2;09;1;1;1;4;11.189111122
1;20151032010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151007011809;2;2;2;09;1;5;6;3;11.189111122
1;20151022010972;2;2;2;14;1;3;6;4;6.1665545527
1;20151003011951;2;2;2;09;2;1;6;4;13.308623874
1;20151012011950;3;2;2;98;0;5;6;1;11.600031994
1;20151006013048;2;2;2;01;1;1;6;3;63.005083889
1;20151020011816;2;2;2;09;1;5;6;3;11.189111122
1;20151011011774;3;2;2;98;0;5;6;1;11.600031994
1;20151003011641;2;2;2;09;1;2;6;3;11.189111122
1;20151003017917;2;2;2;09;1;1;6;4;41.297303626
1;20151016013081;2;2;2;01;1;1;1;4;63.005083889
1;20151004011809;2;2;2;09;1;5;6;3;11.189111122
1;20151006010710;2;2;2;13;2;1;6;4;96.475253779
1;20151010011641;2;2;2;09;1;2;6;3;11.189111122
1;20151005011007;2;2;2;14;8;1;6;5;7.9218832574
1;20151003011938;2;2;2;09;1;1;1;4;11.189111122
